variable,source,indicator_code,year,role,transformation_or_definition
project_score_overall,BIS,,March 2024,Ordinal outcome,"CBDC overall project stage score; 0-3"
advanced_cbdc,Derived,,March 2024,Binary outcome,"1 if project_score_overall >= 2 (pilot/live); 0 otherwise"
account_ownership_2021,Global Findex,,2021,Digital-finance predictor,"Account ownership indicator from repository Findex extract"
online_bill_payment_2021,Global Findex,,2021,Digital-finance predictor,"Online/mobile bill payment indicator from repository Findex extract"
digital_payment_2021,Global Findex,,2021,ML predictor,"Digital payment use indicator from repository Findex extract"
log_adult_population,Global Findex/Derived,,2021,Scale control,"Natural log of adult population"
gdp_per_capita_ppp_2021,World Development Indicators,NY.GDP.PCAP.PP.KD,2021,Development control,"GDP per capita at PPP in constant international dollars as defined in current WDI metadata"
log_gdp_per_capita_ppp_2021,Derived,NY.GDP.PCAP.PP.KD,2021,Development control,"Natural log of gdp_per_capita_ppp_2021"
internet_users_2021,World Development Indicators,IT.NET.USER.ZS,2021,Digital-infrastructure control,"Individuals using the Internet (% of population)"
domestic_credit_private_2021,World Development Indicators,FS.AST.PRVT.GD.ZS,2021,Financial-depth control,"Domestic credit to private sector (% of GDP)"
inflation_2021,World Development Indicators,FP.CPI.TOTL.ZG,2021,Macro-stability control,"Inflation, consumer prices (annual %)"
urban_population_2021,World Development Indicators,SP.URB.TOTL.IN.ZS,2021,ML contextual predictor,"Urban population (% of total population)"
fdi_net_inflows_2021,World Development Indicators,BX.KLT.DINV.WD.GD.ZS,2021,ML contextual predictor,"Foreign direct investment, net inflows (% of GDP)"
wgi_voice_accountability_2021,WGI 2025 Revision,VA.EST,2021,Governance robustness,"Voice and Accountability governance estimate"
wgi_political_stability_2021,WGI 2025 Revision,PV.EST,2021,Governance robustness,"Political Stability and Absence of Violence/Terrorism governance estimate"
wgi_government_effectiveness_2021,WGI 2025 Revision,GE.EST,2021,Governance robustness,"Government Effectiveness governance estimate"
wgi_regulatory_quality_2021,WGI 2025 Revision,RQ.EST,2021,Governance robustness,"Regulatory Quality governance estimate"
wgi_rule_of_law_2021,WGI 2025 Revision,RL.EST,2021,Governance robustness,"Rule of Law governance estimate"
wgi_control_corruption_2021,WGI 2025 Revision,CC.EST,2021,Governance robustness,"Control of Corruption governance estimate"
wgi_governance_index_2021,Derived,WGI six dimensions,2021,Main governance control,"Row mean of six WGI estimates when at least four dimensions are observed"
