ISO2,incomegroupwb24,regionwb24_hi,pop_adult,account_ownership_2021,digital_payment_2021,online_bill_payment_2021,digital_merchant_payment_2021,borrowed_any_2021
AE,High income,High income,7842387,0.857421930087712,0.766119280152843,0.158522176103042,,0.435062262094794
AF,Low income,South Asia (excluding high income),21791072,0.0965382184434304,0.0788157599978411,0.0006912244041982,0.0,0.679691486774837
AL,Upper middle income,Europe & Central Asia (excluding high income),2340601,0.441741742874165,0.345528841437981,0.0486753281752949,0.123007913070125,0.426860065527037
AM,Upper middle income,Europe & Central Asia (excluding high income),2364189,0.553477332562389,0.474708687571894,0.198258604855681,0.157412984160716,0.573089583107383
AR,Upper middle income,Latin America & Caribbean (excluding high income),34481880,0.716270859300586,0.650202140261449,0.323518869636568,0.447122460621683,0.51560824610234
AT,High income,High income,7633446,0.999507174861928,0.993001499882384,0.615677426278894,,0.640113576438967
AU,High income,High income,20888823,0.99323149822978,0.98949552622401,0.771408036246648,,0.670019992535827
BA,Upper middle income,Europe & Central Asia (excluding high income),2851847,0.793378937380757,0.665192405906672,0.133519025566287,0.37684752067034,0.419110410181608
BD,Lower middle income,South Asia (excluding high income),117641793,0.528060649194004,0.452641568679425,0.10523267706208,0.0278161037544511,0.461320374444471
BE,High income,High income,9600074,0.990056968401204,0.97414604049026,0.78203971599479,,0.562829772544017
BG,Upper middle income,Europe & Central Asia (excluding high income),5933315,0.839665205056197,0.752259081771346,0.314611038975103,0.491427502405983,0.47767094721153
BO,Lower middle income,Latin America & Caribbean (excluding high income),8150856,0.688854460185439,0.554545929838326,0.139232187447233,0.151146732974545,0.481606673868055
BR,Upper middle income,Latin America & Caribbean (excluding high income),165349748,0.840357458977852,0.765156576066863,0.426332657849985,0.524152066400021,0.587580752916885
CA,High income,High income,31991096,0.996346150066946,0.983481469545198,0.754919583899106,,0.861260295779617
CH,High income,High income,7337959,0.99491031115136,0.982166739709475,0.537465285458937,,0.684936990115915
CL,High income,High income,15803947,0.870620678198245,0.842870208794319,0.515486957773542,,0.436929411040391
CN,Upper middle income,East Asia & Pacific (excluding high income),1157739289,0.887090216844445,0.861900701715971,0.600385559148342,0.81538643112818,0.557127804718353
CO,Upper middle income,Latin America & Caribbean (excluding high income),39661157,0.597159078921527,0.521095249927642,0.191362510046975,0.204050296025435,0.482360886617312
CR,Upper middle income,Latin America & Caribbean (excluding high income),3990389,0.684896897601052,0.591584698445814,0.32711017797414,0.388338249915596,0.377969648075445
CY,High income,High income,1094549,0.931299045859698,0.871941044774009,0.49526833266404,,0.489509070773602
CZ,High income,High income,8985899,0.949367048560852,0.941064975006368,0.705211155679196,,0.416095890031088
DE,High income,High income,71716499,0.999765938161833,0.994807324065067,0.57434271567944,,0.663621527219469
DK,High income,High income,4880509,1.0,1.0,0.831606673750692,,0.625474095186045
DO,Upper middle income,Latin America & Caribbean (excluding high income),7960918,0.512980112720468,0.387298992825852,0.0878419967521992,0.132044125546648,0.450940705629687
DZ,Lower middle income,Middle East & North Africa (excluding high income),30458426,0.440970221449773,0.337417672200374,0.0356960756031119,0.0532955599963553,0.3759191125686
EC,Upper middle income,Latin America & Caribbean (excluding high income),12914981,0.641767160592829,0.469043637808605,0.166949697463969,0.158736388126278,0.471014896815934
EE,High income,High income,1110971,0.993765667926472,0.986514070488219,0.853383285065972,,0.468276852719133
EG,Lower middle income,Middle East & North Africa (excluding high income),72722825,0.274440057212001,0.201970288405593,0.0144894415965269,0.0351299274303223,0.464418889124725
ES,High income,High income,40639965,0.982984394535205,0.975296812844126,0.480784501096909,,0.57913833954735
FI,High income,High income,4663598,0.995301883332477,0.984739467234647,0.88450463550637,,0.604609671867094
FR,High income,High income,55812045,0.99244295476517,0.984479399827727,0.436657861116557,,0.525783323774758
GB,High income,High income,55029201,0.997632738299911,0.991693969813959,0.523808772373803,,0.618298662774647
GE,Upper middle income,Europe & Central Asia (excluding high income),2940933,0.704986885500291,0.62165517477899,0.253782557774515,0.310869654447235,0.403329959205209
GH,Lower middle income,Sub-Saharan Africa (excluding high income),20017745,0.682303947936909,0.655665950693213,0.101070030816981,0.148667606660636,0.522063931605172
GN,Low income,Sub-Saharan Africa (excluding high income),7735937,0.304403355352872,0.27649794980416,0.0438516071302421,0.056264112695524,0.569552860498832
GR,High income,High income,9182577,0.948841039582543,0.913951093237368,0.633907117252887,,0.477301754676729
HK,High income,High income,6637356,0.97801244380349,0.927671215820433,0.643763284062754,,0.730059642298256
HN,Lower middle income,Latin America & Caribbean (excluding high income),6863097,0.378497022494385,0.316413146313124,0.106921131175829,0.0955595919215117,0.376905926873996
HR,High income,High income,3348534,0.918041946650619,0.870846103209226,0.430101678586884,,0.465129747379572
HU,High income,High income,8330756,0.882187885918565,0.8637168774235,0.544107980536933,,0.296003407737082
ID,Lower middle income,East Asia & Pacific (excluding high income),203818030,0.51755324070215,0.371858537004777,0.0770382854803156,0.129545047758276,0.415923158789911
IE,High income,High income,3983258,0.996633988421918,0.982163399656721,0.626227752225008,,0.617138826577555
IL,High income,High income,6631697,0.929252212375394,0.911586720396557,0.472509325115294,,0.830418161603698
IN,Lower middle income,South Asia (excluding high income),1033092817,0.775291370626274,0.349317299044962,0.0987036738303656,0.119045681158485,0.447940659607977
IQ,Upper middle income,Middle East & North Africa (excluding high income),25903954,0.185652818204679,0.142359958608513,0.0597136436372936,0.0610971839476889,0.52867556147717
IR,Lower middle income,Middle East & North Africa (excluding high income),66867932,0.899846708281017,0.844911345742591,0.357647574557229,0.143677194096677,0.610855113056966
IS,High income,High income,297833,1.0,0.998739952085351,0.808953860947894,,0.853018601548552
IT,High income,High income,51815239,0.972945565478995,0.957753255144847,0.328843974145415,,0.588985902695173
