link,specification,term,coef,std_err,p_value,n,aic
probit,account_ownership_2021,account_ownership_2021,0.5112798035450945,0.1301318150919983,8.532191318910885e-05,112,228.1221576999235
probit,account_ownership_2021,borrowed_any_2021,0.12269956081082496,0.12037718068525909,0.30806411025483327,112,228.1221576999235
probit,account_ownership_2021,log_adult_population,0.5605485420127975,0.11879174861511445,2.372984360800951e-06,112,228.1221576999235
probit,digital_payment_2021,digital_payment_2021,0.4177910731702087,0.12709074797171233,0.0010113702178661116,112,233.36261668774483
probit,digital_payment_2021,borrowed_any_2021,0.12970364557557743,0.12196546381660069,0.2875798866439818,112,233.36261668774483
probit,digital_payment_2021,log_adult_population,0.5503018109597712,0.11810496029684252,3.170859951266044e-06,112,233.36261668774483
probit,online_bill_payment_2021,online_bill_payment_2021,0.32433001563521147,0.12246353613957806,0.00808784870873953,112,237.4188193123276
probit,online_bill_payment_2021,borrowed_any_2021,0.156728293333073,0.12210060724084044,0.19928208199315212,112,237.4188193123276
probit,online_bill_payment_2021,log_adult_population,0.5386042544164015,0.11814175576903627,5.14060781803601e-06,112,237.4188193123276
logit,account_ownership_2021,account_ownership_2021,0.9181450052047976,0.227900149623306,5.6082291358361045e-05,112,222.01515024660998
logit,account_ownership_2021,borrowed_any_2021,0.30889145264736884,0.2086403360183624,0.13874058266197115,112,222.01515024660998
logit,account_ownership_2021,log_adult_population,1.0391930888714858,0.21568828574157162,1.4498103454669322e-06,112,222.01515024660998
logit,digital_payment_2021,digital_payment_2021,0.7968302311414922,0.22373139145806714,0.00036867380131958954,112,226.4544809721673
logit,digital_payment_2021,borrowed_any_2021,0.3092764305554806,0.21045311894031915,0.1416771679214339,112,226.4544809721673
logit,digital_payment_2021,log_adult_population,1.029027078657315,0.2131193964648665,1.3762992945335944e-06,112,226.4544809721673
logit,online_bill_payment_2021,online_bill_payment_2021,0.61658852531815,0.21017056237226509,0.0033489055754618202,112,231.09965508457458
logit,online_bill_payment_2021,borrowed_any_2021,0.3526841620740573,0.21104181918013265,0.09469053202991241,112,231.09965508457458
logit,online_bill_payment_2021,log_adult_population,1.0040325784502955,0.21138070288208613,2.0353926975340192e-06,112,231.09965508457458
